Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,HomeStreak,Orig. Scheduled,HomeGame,Index,year
7,202304050,boxscore,HOU,DET,W,8,2,,3-4,3, 1.5,Javier,Rodriguez,,2:35,D,"37,932",.84,+,,True,87,2023
6,202304050,boxscore,OAK,CLE,L,4,6,10,2-4,4, 2.0,Morgan,Jackson,Clase,2:58,D,"4,930",.90,-,,True,88,2023
7,202304050,boxscore,SEA,LAA,L,3,4,,2-5,5, 2.5,Ohtani,Flexen,Quijada,2:55,D,"25,648",.89,-,,True,89,2023
6,202304050,boxscore,CHW,SFG,W,7,3,,3-3,3, 1.5,Cease,Webb,,2:49,D,"15,980",.89,+,,True,90,2023
7,202304060,boxscore,KCR,TOR,L,3,6,,1-6,5, 4.0,Gausman,Lyles,Cimber,2:30,D,"10,401",.74,---,,True,91,2023
7,202304060,boxscore,ATL,SDP,W-wo,7,6,,6-1,1,up 3.0,Minter,Crismatt,,3:14,N,"42,803",1.13,++++,,True,92,2023
7,202304060,boxscore,COL,WSN,W,1,0,,3-4,3, 2.0,Freeland,Gray,Johnson,2:18,D,"48,230",.86,+,,True,93,2023
7,202304060,boxscore,DET,BOS,L,3,6,,2-5,4, 3.0,Sale,Turnbull,Jansen,2:32,D,"44,650",.87,--,,True,94,2023
7,202304060,boxscore,CHW,SFG,L,6,16,,3-4,3, 2.0,Junis,Lynn,,2:50,D,"18,261",.88,-,,True,95,2023
7,202304060,boxscore,ARI,LAD,L,2,5,,3-4,3, 2.0,May,Kelly,Phillips,2:43,N,"48,034",1.06,-,,True,96,2023
7,202304070,boxscore,PHI,CIN,W,5,2,,2-5,4, 3.5,Soto,Law,Kimbrel,2:43,D,"44,365",.82,+,,True,97,2023
8,202304070,boxscore,ATL,SDP,L,4,5,,6-2,1,up 2.0,Honeywell,Tonkin,Hader,3:01,N,"41,963",1.17,-,,True,98,2023
7,202304070,boxscore,MIN,HOU,W-wo,3,2,10,5-2,1,up 0.5,López,Stanek,,2:47,D,"38,465",1.07,+,,True,99,2023
7,202304070,boxscore,SFG,KCR,L,1,3,,3-4,4, 1.5,Keller,Cobb,Barlow,2:23,D,"40,711",.94,-,,True,100,2023
7,202304070,boxscore,MIL,STL,W,4,0,,6-1,1,up 1.0,Woodruff,Flaherty,,2:45,N,"28,459",1.16,++++++,,True,101,2023
8,202304070,boxscore,COL,WSN,L,5,10,,3-5,5, 2.0,Gore,Ureña,,2:38,N,"30,869",.92,-,,True,102,2023
7,202304070,boxscore,TBR,OAK,W,9,5,,7-0,1,up 2.5,Eflin,Waldichuk,,2:23,N,"15,980",1.15,+++++++,,True,103,2023
8,202304070,boxscore,ARI,LAD,W,6,3,,4-4,2, 1.0,Jameson,Kershaw,,2:28,N,"30,249",.98,+,,True,104,2023
8,202304070,boxscore,CLE,SEA,L,3,5,,5-3,2, 0.5,Murfee,Civale,Sewald,2:34,D,"34,821",1.08,-,,True,105,2023
6,202304070,boxscore,CHC,TEX,W,2,0,,3-3,3, 2.5,Stroman,Eovaldi,Fulmer,2:17,D,"29,094",.87,++,,True,106,2023
7,202304070,boxscore,PIT,CHW,W,13,9,,5-2,2, 1.0,Moreta,Diekman,Crowe,2:48,D,"39,167",1.01,++++,,True,107,2023
7,202304070,boxscore,BAL,NYY,W,7,6,,4-3,3, 3.0,Pérez,Marinaccio,Bautista,3:04,D,"45,017",.99,+,,True,108,2023
8,202304070,boxscore,NYM,MIA,W,9,3,,4-4,2, 2.0,Megill,Cabrera,,3:01,D,"43,590",1.01,+,,True,109,2023
7,202304070,boxscore,LAA,TOR,L,3,4,,4-3,1, Tied,Bassitt,Herget,Romano,2:33,N,"44,735",1.04,-,,True,110,2023
8,202304080,boxscore,PIT,CHW,L,5,11,,5-3,2, 1.0,Clevinger,Velasquez,,3:04,N,"21,162",1.01,-,,True,111,2023
8,202304080,boxscore,MIL,STL,L,0,6,,6-2,1,up 1.0,Montgomery,Lauer,,2:32,N,"43,077",1.16,-,,True,112,2023
8,202304080,boxscore,BAL,NYY,L,1,4,,4-4,4, 4.0,Brito,Irvin,Holmes,2:47,N,"30,561",1.05,-,,True,113,2023
7,202304080,boxscore,CHC,TEX,W,10,3,,4-3,3, 1.5,Steele,Pérez,,2:55,D,"33,578",.93,+++,,True,114,2023
9,202304080,boxscore,NYM,MIA,W,5,2,,5-4,2, 1.0,Senga,Rogers,Robertson,2:39,D,"42,306",1.02,++,,True,115,2023
9,202304080,boxscore,CLE,SEA,L,2,3,,5-4,2, 1.5,Gonzales,Quantrill,Sewald,2:35,N,"17,489",1.07,--,,True,116,2023
9,202304080,boxscore,ATL,SDP,L,1,4,,6-3,1,up 1.0,Wacha,Morton,Hader,2:55,N,"40,154",1.14,--,,True,117,2023
8,202304080,boxscore,PHI,CIN,W-wo,3,2,,3-5,3, 2.5,Vasquez,Díaz,,2:47,D,"44,526",.83,++,,True,118,2023
8,202304080,boxscore,LAA,TOR,W,9,5,,5-3,1,up 1.0,Barria,Berríos,,2:40,N,"44,534",1.03,+,,True,119,2023
